SI;SP;SKL;SPT;SSP;SPL;SB;SPN;Akreditasi
100;100;79;92.5;82.5;100;100;100;1
76.67;85;73;66.25;64.17;81.25;72;78.75;2
96.67;92.5;94;80;93.33;98.75;95;86.25;1
93.33;82.5;81;92.5;91.67;91.25;96;90;1
78.33;82.5;91;96.25;88.33;88.75;95;82.5;1
91.67;92.5;93;90;75.83;95;86;85;1
95;85;75;70;64.17;81.25;89;90;2
81.67;80;85;83.75;70;86.25;78;77.5;2
75;60;68;66.25;47.5;50;77;71.25;3
81.67;82.5;89;96.25;90;95;92;90;1
86.67;82.5;76;82.5;74.17;83.75;91;82.5;2
91.67;97.5;73;81.25;65;90;89;97.5;2
75;80;60;76.25;67.5;85;67;80;2
96.67;97.5;96;91.25;96.67;100;95;98.75;1
96.67;97.5;89;86.25;96.67;100;100;97.5;1
95;92.5;95;86.25;89.17;98.75;95;92.5;1
98.33;95;92;88.75;83.33;95;97;92.5;1
100;75;93;95;90;92.5;97;90;1
91.67;85;96;83.75;83.33;100;100;96.25;1
83.33;90;97;92.5;98.33;95;90;82.5;1
83.33;87.5;76;78.75;85;95;90;85;2
91.67;87.5;66;81.25;85;95;79;92.5;2
91.67;85;80;73.75;85;92.5;78;91.25;2
85;85;89;90;93.33;96.25;90;92.5;1
85;87.5;95;77.5;92.5;90;85;87.5;1
96.67;92.5;64;87.5;83.33;93.75;81;91.25;1
96.67;80;75;83.75;81.67;87.5;87;93.75;1
73.33;82.5;77;85;76.67;90;91;80;2
88.33;80;70;71.25;65;78.75;87;83.75;2
86.67;80;76;72.5;77.5;86.25;68;76.25;2
85;80;71;76.25;64.17;83.75;74;80;2
83.33;80;54;70;70;68.75;90;88.75;2
63.33;67.5;69;78.75;74.17;82.5;94;76.25;2
70;80;56;66.25;75.83;75;89;71.25;2
81.67;75;62;61.25;65.83;90;67;86.25;2
66.67;77.5;62;61.25;56.67;68.75;48;90;3
55;62.5;68;70;60.83;66.25;63;71.25;3
50;57.5;56;66.25;63.33;63.75;60;66.25;3
98.33;95;97;93.75;99.17;100;97;96.25;1
100;95;97;95;96.67;100;95;95;1
100;97.5;91;88.75;94.17;97.5;94;95;1
91.67;95;94;87.5;90.83;97.5;98;91.25;1
96.67;77.5;84;96.25;93.33;86.25;88;95;1
95;95;77;82.5;88.33;95;93;87.5;1
96.67;90;89;88.75;80;91.25;93;83.75;1
85;90;78;83.75;87.5;97.5;98;81.25;1
93.33;85;83;86.25;80;87.5;93;91.25;1
96.67;87.5;85;78.75;84.17;92.5;86;78.75;1
85;85;86;75;77.5;80;77;75;2
93.33;97.5;99;88.75;93.33;95;98;93.75;1
93.33;97.5;89;76.25;83.33;87.5;90;80;1
71.67;85;64;93.75;89.17;87.5;86;80;2
76.67;70;74;81.25;78.33;87.5;87;91.25;2
80;80;67;73.75;80;86.25;72;90;2
100;95;90;100;91.67;100;96;95;1
90;92.5;95;90;97.5;97.5;96;93.75;1
100;100;93;96.25;91.67;97.5;73;98.75;1
90;85;91;85;91.67;95;97;73.75;1
83.33;87.5;85;76.25;83.33;86.25;88;91.25;2
81.67;72.5;74;80;81.67;73.75;86;87.5;2
91.67;70;67;92.5;74.17;67.5;73;86.25;2
76.67;65;57;78.75;93.33;80;70;71.25;2
65;72.5;58;75;85;78.75;80;80;2
91.67;75;59;70;56.67;76.25;70;73.75;2
76.67;72.5;61;60;46.67;76.25;68;78.75;3
78.33;75;70;77.5;69.17;72.5;69;76.25;2
93.33;85;98;91.25;85.83;90;95;95;1
86.67;92.5;92;85;92.5;83.75;100;95;1
95;75;77;72.5;62.5;81.25;91;78.75;2
91.67;87.5;82;75;60;62.5;83;86.25;2
86.67;77.5;74;73.75;71.67;77.5;90;81.25;2
85;87.5;92;71.25;70;76.25;79;67.5;2
76.67;77.5;95;81.25;65;86.25;84;81.25;2
96.66;82.5;86;87.5;88.33;97.5;88;98.75;1
91.67;85;82;91.25;79.17;90;89;88.75;1
93.33;100;98;98.75;82.5;85;97;93.75;1
80;80;82;71.25;70;77.5;65;83.75;2
85;72.5;57;77.5;80;65;55;55;3
76.67;60;54;75;41.67;78.75;59;82.5;3
