bulan;suhu
1;26.13
2;26.65
3;26.67
4;26.46
5;26.13
6;25.36
7;25.00
8;25.23
9;26.02
10;25.97
11;26.42
12;25.45
13;25.01
14;25.24
15;25.50
16;25.48
17;25.29
18;23.96
19;24.01
20;25.59
21;26.98
22;28.80
23;26.69
24;26.44
25;25.23
26;25.86
27;25.33
28;25.93
29;25.14
30;24.10
31;24.46
32;25.87
33;28.38
34;29.14
35;28.41
36;26.90
37;25.52
38;26.05
39;26.11
40;26.26
41;26.03
42;25.46
43;24.14
44;23.92
45;25.61
46;28.74
47;28.22
48;25.93
49;25.11
50;25.63
51;26.50
52;26.30
53;26.24
54;25.48
55;24.73
56;25.58
57;27.38
58;29.74
59;28.75
60;26.18
61;25.50
62;25.94
63;25.76
64;26.15
65;25.07
66;24.26
67;24.58
68;26.11
69;27.90
70;30.12
71;29.27
72;27.43
73;27.26
74;26.56
75;26.69
76;26.73
77;26.68
78;25.89
79;25.67
80;25.48
81;26.34
82;26.19
83;26.17
84;25.67
85;25.69
86;25.48
87;26.17
88;26.12
89;25.48
90;24.93
91;24.19
92;25.63
93;27.84
94;28.08
95;26.65
96;25.98
97;25.41
98;25.46
99;26.28
100;26.26
101;25.43
102;24.98
103;24.92
104;26.32
105;28.67
106;29.48
107;28.16
108;26.18
109;26.24
110;26.43
111;25.93
112;26.49
113;25.40
114;24.31
115;25.22
116;26.43
117;27.96
118;29.95
119;30.78
120;28.65
121;26.98
122;26.66
123;26.51
124;26.87
125;26.33
126;25.24
127;24.37
128;25.51
129;27.83
130;27.94
131;27.05
132;25.84
